item_id,attack_id,release_a,release_b,bin,jaccard,seqmatch,char3_jaccard,sentence_jaccard,tfidf_cosine,version_a,version_b,major_bump,any_bump,tactic_changed,platform_changed,name_changed,codebook_example
A116,T1207,8.0,9.0,J>=0.95,0.976,0.9971509971509972,0.9826086956521739,0.8,0.9919382399949466,2.0,2.0,False,False,False,False,False,False
A117,T1574.004,8.0,9.0,J<0.40,0.31176470588235294,0.09690230341540905,0.3699885452462772,0.0,0.5508815982317593,1.0,2.0,True,True,False,False,False,False
A118,T1070.003,11.0,12.0,J>=0.95,0.993421052631579,0.986529826812059,0.9805589307411907,0.8666666666666667,0.9966365657670277,1.2,1.3,False,True,False,False,False,False
A119,T1027.004,15.0,16.0,J>=0.95,0.978494623655914,0.9772594752186589,0.96,0.6,0.968057455748303,1.0,1.1,False,True,False,False,False,False
A120,T1189,5.0,6.0,0.80-0.95,0.8755980861244019,0.8950937375349023,0.9048582995951417,0.76,0.9563373875880552,1.0,1.1,False,True,False,True,False,False
A121,T1061,2.0,3.0,J<0.40,0.232,0.034993270524899055,0.28370786516853935,0.0,0.35250350216004667,1.0,1.0,False,False,False,False,False,False
A122,T1086,3.0,4.0,0.60-0.80,0.672566371681416,0.7481549815498155,0.6795827123695977,0.5,0.8626901088742115,1.0,1.1,False,True,False,False,False,False
A123,T1112,6.0,7.0,0.80-0.95,0.9402985074626866,0.9682337992376112,0.9378378378378378,0.5,0.9826325215252057,1.0,1.1,False,True,False,False,False,False
A124,T1098.001,8.0,9.0,0.80-0.95,0.8070175438596491,0.7849829351535836,0.8111273792093704,0.3333333333333333,0.8874195001609813,2.0,2.2,False,True,False,True,False,False
A125,T1615,14.0,15.0,J>=0.95,0.9901960784313726,0.9958540630182421,0.9924012158054711,0.6,0.996778814370948,1.1,1.1,False,False,False,False,False,False
A126,T1025,2.0,3.0,0.40-0.60,0.5102040816326531,0.5741811175337187,0.48939929328621906,0.2,0.811475067549776,1.0,1.0,False,False,False,False,False,False
A127,T1201,9.0,10.0,0.80-0.95,0.9008264462809917,0.9023013460703431,0.9089506172839507,0.1,0.9580912360244159,1.2,1.3,False,True,False,True,False,False
A128,T1006,13.0,14.0,0.60-0.80,0.6944444444444444,0.807153965785381,0.6673866090712743,0.375,0.8055469784116547,2.0,2.1,False,True,False,False,False,False
A129,T1534,14.0,15.0,0.40-0.60,0.5421686746987951,0.5157650182542317,0.616969696969697,0.0,0.5753037262754968,1.2,1.3,False,True,False,False,False,False
A130,T1071,15.0,16.0,J>=0.95,0.9746835443037974,0.9768875192604006,0.9440715883668904,0.6,0.9571314305907516,2.2,2.3,False,True,False,False,False,False
A131,T1021,6.0,7.0,0.40-0.60,0.43209876543209874,0.4786150712830957,0.4618834080717489,0.16666666666666666,0.5918828334381228,1.0,1.1,False,True,False,False,False,False
A132,T1114,5.0,6.0,J<0.40,0.3115942028985507,0.3525390625,0.38055555555555554,0.375,0.5222273321056426,1.0,2.0,True,True,False,True,False,False
A133,T1105,2.0,3.0,0.40-0.60,0.4768211920529801,0.5794094173982443,0.47388535031847134,0.15384615384615385,0.7036386676668209,1.0,1.0,False,False,False,False,False,False
A134,T1200,10.0,11.0,0.60-0.80,0.7899159663865546,0.343649946638207,0.7784615384615384,0.1111111111111111,0.8424231430585439,1.2,1.3,False,True,False,False,False,False
A135,T1557,10.0,11.0,0.40-0.60,0.5915492957746479,0.6283320639756284,0.6067961165048543,0.3333333333333333,0.7305512723946502,2.0,2.1,False,True,False,False,False,False
A136,T1608.004,10.0,11.0,J>=0.95,0.9942528735632183,0.9971977582065652,0.9868131868131869,0.8181818181818182,0.9983031686248933,1.1,1.2,False,True,False,False,False,False
A137,T1130,2.0,3.0,0.60-0.80,0.68,0.70530749789385,0.5662805662805663,0.5789473684210527,0.8700235527842608,1.0,1.0,False,False,False,False,False,False
A138,T1108,5.0,6.0,0.80-0.95,0.8555555555555555,0.8740661686232657,0.8233009708737864,0.14285714285714285,0.9171797641538835,1.0,2.0,True,True,False,True,False,False
A139,T1116,2.0,3.0,0.60-0.80,0.7755102040816326,0.8520648196549921,0.7916666666666666,0.75,0.9306713231306033,1.0,1.0,False,False,False,False,False,False
A140,T1009,2.0,3.0,J<0.40,0.38636363636363635,0.49763481551561023,0.4051383399209486,0.4,0.6807853057850108,1.0,1.0,False,False,False,False,False,False
A141,T1041,6.0,7.0,0.40-0.60,0.5925925925925926,0.06965174129353234,0.6441717791411042,0.0,0.8159630666903424,1.0,2.0,True,True,False,False,True,False
A142,T1127,2.0,3.0,0.60-0.80,0.7824427480916031,0.8531691746466028,0.7961321514907332,0.5853658536585366,0.975787533494722,1.0,1.0,False,False,False,False,False,False
A143,T1606,12.0,13.0,0.80-0.95,0.9090909090909091,0.9167249825052485,0.8831360946745562,0.6666666666666666,0.9424105347735847,1.2,1.3,False,True,False,False,False,False
A144,T1117,2.0,3.0,0.60-0.80,0.7329545454545454,0.7969206264932307,0.7823275862068966,0.5333333333333333,0.9463681134056454,1.0,1.0,False,False,False,False,False,False
A145,T1071,2.0,3.0,0.40-0.60,0.5350877192982456,0.6088583905177791,0.5445705024311183,0.42857142857142855,0.6965424121159632,1.0,1.0,False,False,False,False,False,False
A146,T1204.003,9.0,10.0,0.80-0.95,0.9292929292929293,0.9692460317460317,0.9437609841827768,0.6,0.9777972225211816,1.0,1.1,False,True,False,False,False,False
A147,T1203,2.0,3.0,0.60-0.80,0.7277227722772277,0.7886815171583383,0.7174757281553398,0.5,0.8832444990691601,1.0,1.0,False,False,False,False,False,False
A148,T1566.002,10.0,11.0,0.80-0.95,0.8047337278106509,0.8495877168040944,0.856453558504222,0.7692307692307693,0.9254592155361593,2.1,2.2,False,True,False,False,False,False
A149,T1584.001,12.0,13.0,0.60-0.80,0.7647058823529411,0.8571428571428571,0.7783171521035599,0.5714285714285714,0.8861375618841575,1.2,1.3,False,True,False,False,False,False
A150,T1032,2.0,3.0,J<0.40,0.18562874251497005,0.017740429505135387,0.26941176470588235,0.0,0.27094039479109,1.0,1.0,False,False,False,False,False,False
